id,municities,npss_irri,vs_irri,rs_irri,ms_irri,total_irri,npss_rain,vs_rain,rs_rain,ms_rain,total_rain,npss_up,vs_up,rs_up,ms_up,total_up,npss_gt,vs_gt,rs_gt,ms_gt,total_gt
936,Dimasalang,0.296088517,2.962568909,13.3469138,121.5124029,138.1179742,0.275586895,2.206950483,5.242916972,0,7.72545435,0,0,0,0,0,0.571675412,5.169519392,18.58983078,121.5124029,145.8434285
937,Esperanza,,0.050795448,0.343011046,35.09383156,35.48763806,0.312841797,0.938525391,1.251367188,1.251367188,3.754101563,0,0,0,0,0,0.312841797,0.989320839,1.594378234,36.34519875,39.24173962
938,Mandaon,105.424776,154.036663,104.8401914,1234.284733,1598.586363,0.026502991,0.397544861,1.060119629,1.378155518,2.862322998,0,0,0,0.706399832,0.706399832,105.451279,154.4342079,105.900311,1236.369288,1602.155086
939,Masbate City,0.066731678,0.589673226,2.373594174,30.12320188,33.15320096,0.186288851,1.590569201,3.840263347,4.871965994,10.48908739,0,0,0,0,0,0.253020529,2.180242427,6.21385752,34.99516788,43.64228835
940,Milagros,457.4734301,110.4191134,159.6015709,460.7624023,1188.256517,1308.01006,131.6535372,47.41031006,58.53366634,1545.607574,0,0,0,0,0,1765.48349,242.0726506,207.0118809,519.2960686,2733.864091
941,Mobo,143.2708929,27.44916719,13.76229281,42.56883585,227.0511888,60.01364045,0.18567836,0.488832844,0.633589862,61.32174151,150,0,0,2.307698841,152.3076988,353.2845334,27.63484555,14.25112566,45.51012455,440.6806292
942,Monreal,79.63076776,120.5958391,44.41303841,40.41154919,285.0511945,0.015045394,0.18613651,0.483182562,0.624182891,1.308547357,0,0,0,0.638520813,0.638520813,79.64581315,120.7819757,44.89622097,41.67425289,286.9982627
943,Palanas,0.374444818,3.747293479,16.88637553,72.32392234,93.33203617,0,0,0,0,0,0,0,0,0.059898258,0.059898258,0.374444818,3.747293479,16.88637553,72.3838206,93.39193443
944,Pio V. Corpuz,1.026193229,4.104772916,6.157159374,5.130966145,16.41909166,1.790259796,7.161039183,12.53181857,14.32207837,35.80519592,0,0,0,8.19494302,8.19494302,2.816453025,11.2658121,18.68897794,27.64798753,60.4192306
945,Placer,3.663263893,29.31108972,102.6454461,333.7907781,469.4105778,0.471429024,3.789968799,9.012761275,11.388443,24.6626021,0,0,0,21.30570598,21.30570598,4.134692917,33.10105852,111.6582074,366.4849271,515.3788859
